emp_id,name,department,salary,joining_date
1036,Lisa Thomas,Support,82227,2023-07-17
1099,Holly Goodwin,Finance,97811,2021-04-03
1019,Aaron Neal,IT,54948,2020-12-02
1003,Jason Clark,Support,108328,2016-04-20
1090,Beverly Clark,Marketing,48881,2019-03-21
1045,Joel Roberts,Support,42300,2023-09-08
1074,Richard Miller,Marketing,94625,2023-07-29
1056,Ryan Hall,IT,54619,2017-04-16
1037,Linda Lane,Operations,42007,2018-04-28
1094,April Young,Support,75014,2021-12-10
1050,Amber Savage,Operations,105312,2023-06-04
1080,Sandra King,Finance,42694,2017-07-02
1033,Ryan Kim DVM,Operations,63050,2021-11-07
1008,William Alvarez,Marketing,119709,2020-03-05
1011,Andrea Wright,Marketing,63399,2019-12-08
1053,Karen Robinson,Support,64075,2016-08-27
1058,Timothy Lucas,Operations,95573,2022-09-22
1070,Carrie Johnson,Operations,82801,2022-05-27
1038,Michael Shaw,IT,108888,2021-10-20
1015,Kevin Smith,Finance,97113,2016-04-21
